id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,f153,f154,f155,f156,f157,f158,f159,f160,f161,f162,f163,f164,f165,f166,f167,f168,f169,f170,f171,f172,f173,f174,f175,f176,f177,f178,f179,f180,f181,f182,f183,f184,f185,f186,f187,f188,f189,f190,f191,f192,f193,f194,f195,f196,f197,f198,f199,target
0,13.16,0.327,0.0,1.4,5.11,10.196,2.21,0.1339,17.79,3.9746,2.53,6.3,7.32,6.2,23.4,3.7578,8.13,296.279,1.3,1.1978,2.1,5.053,0.1341,29.93,3.51,15.8,2.076,84.1,4.06,4.0,9.0247,9.33,5.6423,16.2,7.2937,0.1768,7.2,575.472,0.7,4.176,8.4,0.0031,8.3,0.129,2.81,11.9,0.11,0.5631,14.711,100.00,0.671,82.4739,6.25,92.4,12.26,0.9138,9.5087,8330.0,16.35,2.5,31.267,0.863,5.131,2.3354,1.502,1.391,34.79,0.3362,4.4578,0,20.6,1.12,2.6,1.63,6.3,4.92,22.0,5.313,0.081,0.962,0.238,1.315,8.4484,2.5383,0.78,2.009,0.3,1.45,0.7242,0.924,311.0,2.96,-0.5316,7.1405,7.2,0.6861,3.1756,2.507,0.8,5.9762,5.47,14.332,208.846,3.8711,386.63,0.56,0.08,40.0597,-0.943,0.22,-12.289,12.50,1.066,3.1,4.6183,0.21124,17406824.853,52.96,6.061,0.5240,708.9,1.9266,1.75,0.65,8.1284,7.4927,18.9,20.9581,0.43,0.017,1.39,5.6310,7.0,4.5,6.3,4.1305,5,9.6336,3.5,7.45,105.9,3.426,0.2,1.9,14.42,15.20,0.206,6.6558,2.87,0.1821,0.3,0.79,4.241,0.787,62442.1677,0.74,0.17,6.608,1.39,6.0821,0.221,52340.633,6.4318,3.3,0.46,5.3,0.1319,6.03,0.6089,6.95,2.6356,14.4401,1.022,4.1827,7.870,2.25,0.7027,964.586,4.958,0.693,0.9,1.68,0.44,5.96,0.742,4.3278,3.25,7.47,29.743,9.5751,4.393,4.477,6.7,2.63,0.4,6.5996,6.96,0.51,0.59,2236.5387,16.50
1,15.39,0.638,0.4,1.35,2.71,10.994,1.15,0.3258,10.488,0.2557,3.8,7.2,4.75,5.2,24.6,3.8076,15.988,160194295.414,2.9,1.3245,-0.9,2.86,0.2636,18.13,-2.35,30.0,0.892,1349.7,4.1,5.4,301.5173,-6.58,5.8232,10.0,9.4709,0.0563,1237.2,59195.252,0.4,3.988,1.8,485.5378,4.6,0.059,2.95,7.1,0.17,9510908.7234,95.172,71.00,0.488,102.0641,13.08,46.8,15.26,0.8479,9.4558,0.0,11.09,2.35,43.204,0.634,0.19,-0.5946,3.177,3.077,49.18,0.9709,1.6402,0,1.3,0.36,5.0,1.38,9.9,58943.8,36.8,4.5221,0.512,0.642,0.196,1.444,7.1499,4.614,0.03,2.635,0.9,1.55,0.3479,6.233,666.0,2.876,-0.5332,4.3587,5.19,1.2148,3.3724,2.619,0.8,5.3482,5.03,2077.385,2.2846,0.7409,368.74,-0.03,0.06,58.1224,12.9701,0.22,1.633,0.00,1.556,482.8,7.9176,15.57570,0.116,51.15,6.04,0.5800,5.1,0.4156,1.31,0.82,7.8406,5.3602,20.9,-9.0673,0.674,0.319,7.27,5.9260,6.5,4.9,7.2,3.764,24,7.4304,3.8,1.76,572084.8,1976.344,1.0,1.1,10.98,20.20,0.574,2.8081,1.95,0.0687,0.1,0.777,2.593,0.573,1396784.6931,0.08,0.08,12.0256,1.49,2.9084,0.002,5149.866,3.9388,15.1,0.09,5.7,0.0093,5.6,0.442,6.57,2.9116,12.6014,61486.913,6.8598,18.100,1.54,0.2592,623.285,5.95,0.351,0.0,3.99,0.95,6.88,0.848,4.8062,2.36,8.42,45.505,3.4133,5.5744,4.537,10.9,2.84,0.3,8.5762,5.8,0.15,0.15,120264.9285,19.10
2,25.05,0.997,0.0,1.35,-1.09,8.671,3.9,0.1607,10.605,5.8649,1.87,6.5,6.22,6.6,42.1,3.3257,15.647,4543023.673,34.0,1.6091,1.3,5.887,0.3701,9.62,5.99,38.6,0.194,691.3,5.04,7.1,145.3368,1.39,3.7252,-21.1,10.0807,0.0861,184.6,54425.125,0.0,2.973,2.7,0.0,4.3,0.095,2.42,1.9,0.13,14013.9875,16.655,48.00,0.195,108.5288,2.37,39.5,40.19,0.8446,6.7473,2187.9,25.37,2.45,29.159,0.03,0.424,0.4998,1.461,149.395,45.47,0.4309,0.946,0,9.7,0.31,2.4,1.91,14.3,8.07,44.8,5.171,0.261,0.678,0.287,4.685,8.9356,3.5806,1.63,58.148,0.3,1.47,0.5589,1.714,247.0,4.537,4.9627,3.643,10.59,3.8055,7.5177,2.136,0.7,0.532,6.41,38643.057,1.2919,2.1875,396.90,-1.18,0.05,65.5255,5.3107,1.14,2.004,0.00,1.03,21.2,3.8494,0.05059,109.268,171.9,4.825,0.4490,47899.6,-1.3633,1.49,0.65,6.2046,3.1155,27.8,-1.4842,0.804,0.232,1.69,6.3890,2.7,4.7,6.8,3.0134,3,6.0828,3.3,4.7,8.5,82.6987,0.9,1.2,11.61,18.50,0.427,3.5356,10.15,0.0122,0.1,0.677,5.913,0.426,5.3301,0.04,0.2,1.0509,1.52,4.7794,0.105,381.405,5.889,9.1,0.69,4.9,0.2881,7.05,0.5339,5.54,3.3394,2.5015,380.308,6.8222,4.490,1.39,0.0429,904.864,7.485,0.3,0.1,0.02,0.54,6.83,0.553,4.4086,2.49,8.65,36.292,7.2008,8.2934,4.959,12.9,1.93,0.3,15.0725,6.14,0.12,0.74,296.3044,23.90
3,27.79,0.988,0.2,1.75,-5.13,5.053,1.63,0.7068,11.863,1.1322,3.34,5.1,7.29,4.3,57.2,4.0356,1.09,18.649,12.2,1.3484,0.8,3.546,0.6376,22.98,-7.7,20.9,0.613,664.9,4.76,5.1,22.993,-9.25,-1.231,2.0,8.2708,0.0808,19.4,29809.149,0.3,4.289,8.4,519.4973,4.9,0.17,3.05,8.1,0.08,185.5689,29.955,100.00,0.074,161.9524,1.58,51.3,1.64,0.9954,9.4567,3.21,-4.7,2.63,22.502,0.215,0.343,3.2018,3.028,1.094,14.75,0.1108,4.0593,0,1.5,0.22,3.2,8.38,11.4,1.56,10.3,-4.5234,0.467,0.75,0.381,145.632,6.7663,2.8466,0.23,1.16,0.6,1.36,0.2798,2.111,666.0,5.945,-2.5763,4.6405,5.1,0.1996,6.4869,4.138,0.9,5.3599,1.3,327.661,42.5657,3.9026,384.97,2.17,0.1,15.3078,12.1127,0.33,10.2896,0.00,1.763,0.2,8.089,67.92080,37.591,664.0,5.562,0.6930,12928847.7,-0.6046,1.55,0.85,5.718,1.4066,17.8,-1.6557,0.56,0.07,1.73,5.6830,1.2,3.4,7.8,3.884,24,11.6578,4.9,7.44,176.1,6.8066,0.9,1.3,21.29,20.20,0.148,3.437,1.36,0.321,0.0,0.692,3.853,0.299,47879.4055,0.02,0.06,1.8588,30.54,1.4254,0.046,51.4,7.7097,3.2,0.58,3.2,0.5334,6.5,0.0171,6.5,3.2273,5.0751,735.676,6.259,18.100,24.51,0.0067,2946.109,3.987,0.738,0.0,0.09,0.31,4.4,0.224,5.0701,2.29,6.82,23.359,7.7127,2.6447,8.043,17.0,2.22,0.3,-0.2965,5.45,0.12,0.37,402.7348,5.00
4,31.91,0.539,0.8,1.46,8.25,6.528,15.0,0.4386,15.299,4.5136,2.0,6.0,7.22,6.6,30.4,4.3363,1.223,7.873,2.5,0.8699,8.2,3.769,0.0918,21.14,-10.2,11.0,0.067,17416.6,5.01,7.0,73.8527,9.69,5.0958,-8.3,8.5417,0.0219,31109.6,501882929.084,0.0,4.311,21.0,0.0001,10.4,0.281,2.7,6.5,0.32,9192.9542,32.231,72.90,0.321,88.2433,2.74,104.5,3.0,0.4479,10.3414,290.23,13.28,2.33,20.121,0.992,0.115,12.336,1.056,4.097,20.72,0.0915,-2.0145,0,2.0,1.28,4.9,35.98,16.3,1.38,20.8,-4.4461,0.202,0.752,0.302,426.267,6.6703,5.6928,0.83,11.738,0.7,1.72,0.3673,3.959,391.0,5.819,9.6697,4.5531,4.86,2.0018,3.4456,4.359,0.4,6.1357,6.08,8550.837,4.7471,4.1234,396.90,-0.41,0.26,54.6638,10.9572,0.32,2.3596,0.00,1.741,77477715.8,7.79,0.28960,55.354,44334.03,0.158,0.5850,1.6,0.8906,1.58,0.77,7.6567,15.7668,32.7,-5.3837,0.593,0.12,3.68,5.3900,3.4,2.8,6.6,4.0722,6,10.2493,2.0,4.76,3.9,268.4127,0.9,4.6,10.53,19.20,0.766,2.8499,5.4,0.4243,0.1,0.796,2.627,0.462,486872.7769,0.24,1.96,56.6659,2.27,2.7986,0.039,55.466,6.677,2.7,0.36,4.3,0.5144,6.34,0.8793,7.39,3.1064,11.8092,0.211,6.5388,9.690,1.7,0.5991,1257.451,5.749,0.55,0.2,6.21,0.76,5.97,0.302,4.6918,2.85,7.4,34.179,7.6182,5.5917,9.147,7.4,2.77,0.3,0.203,4.75,0.21,0.9,229773.385,19.70
5,16.18,0.219,0.3,3.55,1.82,10.213,1.38,0.4377,1.971,5.2293,4.96,6.1,4.12,2.0,56.4,7.0953,1.118,127904.056,1.2,1.1389,-0.6,2.89,0.2434,9.14,14.01,35.4,0.032,245.6,7.5,6.2,18.1706,11.91,8.3058,-15.9,8.4855,0.1036,89098.6,426068.58,0.9,4.455,2.9,4463.9305,12.1,0.148,3.29,5.1,0.24,8783.9105,39.203,78.90,0.266,36.182,1.44,66.4,15.95,0.7773,8.4517,805.89,1.08,2.5,41.992,0.233,4.994,5.1543,5.105,1.551,54.51,0.7309,-0.1594,0,1.3,0.22,7.0,9.08,8.8,4.36,8.0,1.0385,0.3,0.723,0.301,27.227,2.7723,3.6514,0.44,23.969,0.0,1.84,0.8796,0.707,242.0,3.039,-1.0132,6.7405,3.25,2.7473,8.5569,4.496,0.3,4.3887,1.87,41.745,1.7725,1.9287,396.90,4.85,0.16,46.3201,19.3419,0.14,-13.5263,0.00,1.245,3.5,3.6088,0.02731,65.425,256.8,0.344,0.4690,0.0,2.137,2.01,0.79,6.4733,11.8674,22.9,-0.5101,0.763,0.184,1.93,6.4210,5.3,3.3,8.1,4.3346,2,7.2002,2.4,5.0,455.3,2.883,0.2,4.7,5.86,17.80,0.064,6.8527,2.74,0.8995,0.2,0.895,2.66,0.139,20776.0633,0.11,0.14,21.1936,1.81,4.9671,0.068,23.806,5.1477,12.6,0.01,3.3,0.1219,5.63,0.3469,6.39,3.0317,14.2676,137.89,7.3029,7.070,1.13,0.5866,2297.083,4.272,0.982,0.1,5.61,0.7,6.03,0.421,4.4538,2.02,6.48,45.259,11.5603,3.9084,8.933,6.8,2.0,0.3,0.3812,6.8,0.58,0.93,2591.9502,21.60
6,14.64,0.677,0.4,98.31,-4.92,13.924,5.85,0.2565,-4.795,3.1816,3.91,7.2,4.28,5.8,29.8,3.0774,3.986,49.481,19.3,1.5429,-0.2,5.315,0.4182,15.94,-9.53,29.1,0.318,4393.6,6.69,9.0,3.0945,23.07,-0.6666,4.8,8.79,0.2304,47.4,1.106,1.0,4.62,63.9,1903.3937,6.5,0.048,2.59,9.6,0.04,6750149.0312,72.247,71.70,0.672,98.603,3.36,44.5,3.07,0.732,6.2492,0.0,6.85,2.94,17.118,0.654,0.509,0.8022,3.769,18.292,34.67,0.113,1.7702,0,2.8,0.3,7.6,197.63,16.0,1.73,27.5,-0.4273,0.229,0.855,0.172,2.416,6.4676,3.8018,0.81,1.337,0.7,1.46,0.1164,4.125,304.0,4.984,1.8729,6.1603,9.58,4.1076,3.8022,4.898,0.2,4.4175,7.47,30164199.057,1.4043,0.7103,396.90,4.24,0.05,71.7249,9.2111,0.59,-24.4016,0.00,1.601,20205.3,3.6554,0.24522,0.458,2550.91,4.653,0.5440,158.6,4.0184,2.07,0.83,4.4902,0.4559,11.0,29.0375,0.797,0.279,2.22,5.7820,9.5,5.2,4.7,4.0456,4,10.3335,1.5,7.7,52508581.1,45.0534,0.0,1.5,16.67,18.40,0.013,3.186,12.33,0.8086,0.1,0.723,2.44,0.533,289069.1425,0.12,0.25,1.887,1.29,4.0317,0.07,0.437,5.297,2.3,0.35,2.9,0.053,5.8,0.5626,7.01,3.0189,2.8393,4.138,6.8045,9.900,1.27,0.024,246.448,6.082,0.404,0.0,0.55,0.71,5.32,0.302,4.8092,4.01,8.54,28.439,6.4179,4.45,7.126,5.6,2.34,0.3,-9.3977,6.04,0.21,0.56,4072.3105,19.80
7,23.77,0.462,0.1,16.65,11.71,0.154,1.8,0.0789,1.174,3.3998,4.72,5.5,6.13,3.9,39.0,3.4956,7.42,95.979,1.3,1.5953,-3.6,2.981,0.2063,23.34,-2.05,15.1,0.114,141.9,7.13,8.1,60.7858,3.98,5.9798,-7.9,8.6039,0.0135,376.2,274721885.897,0.4,2.438,1.1,0.0498,5.3,0.184,2.4,6.8,0.66,1393.6103,27.736,100.00,0.105,118.8902,1.12,108.0,13.3,0.5252,9.9283,67505.31,11.34,2.83,8.54,0.194,5.977,-6.1405,1.344,2.747,25.78,0.6101,1.9446,0,3.6,0.03,7.3,3.24,6.9,2.14,29.2,3.3722,0.241,0.834,0.349,10.522,2.5259,4.4758,1.34,1.124,0.2,1.8,0.5633,1.225,666.0,6.702,2.9727,7.1711,5.72,3.8195,4.4798,1.924,0.7,0.1441,2.7,94.885,1.1674,3.3082,370.22,4.18,0.19,31.7173,-0.0872,0.25,-17.0119,0.00,1.794,95.2,6.1879,20.71620,30.058,31756.96,1.151,0.6590,441.3,5.3548,1.33,0.74,8.5283,4.0482,18.2,7.0343,0.804,0.024,1.42,4.1380,2.7,4.6,7.8,4.8136,24,9.954,5.0,4.2,7842.0,61.2877,0.5,1.9,7.18,20.20,0.819,6.4482,2.54,0.1597,0.2,0.895,2.844,0.63,51108.5394,0.18,0.04,1.5885,3.11,1.1781,0.002,2.706,8.8548,11.1,0.14,3.6,0.0718,5.58,0.0726,6.69,3.5313,8.9417,238.486,6.7171,18.100,2.45,0.0507,1071.867,6.311,0.714,0.5,0.22,0.64,5.97,0.406,4.705,3.55,5.58,26.763,9.1723,7.9974,6.622,18.6,2.53,0.1,10.631,5.95,0.71,0.78,52653.6192,11.90
8,14.67,0.078,0.0,1.99,6.92,14.738,1.22,0.0486,18.371,7.4327,3.69,6.7,5.68,4.7,26.7,7.02,9.336,54808.584,276.4,0.7511,-8.3,5.079,0.2976,6.15,-1.31,18.1,0.803,4076.8,5.47,6.7,278.4667,-5.53,6.1768,6.6,8.7734,0.0154,1387435.3,11064.224,0.1,1.505,2.5,145920094.327,5.1,0.269,2.66,7.7,0.14,248019.0887,45.819,28.90,0.95,121.0009,4.48,37.4,16.5,0.3963,8.8947,0.0,11.87,2.66,15.033,0.0,0.227,-3.9143,4507.234,2.045,43.11,0.854,4.7625,0,2.7,0.14,7.5,3.42,10.1,2.16,23.2,8.0067,0.129,0.744,0.325,1.255,8.6314,5.3866,0.9,43.864,0.1,1.73,0.2228,1.058,287.0,6.287,4.2094,4.5812,7.24,3.7336,3.985,4.413,0.6,0.9448,0.61,1616.308,1.2963,5.635,396.90,5.02,0.03,35.8266,-1.8583,0.3,20.3514,0.00,3.559,4192742.6,9.3881,0.30347,3.796,20.41,0.124,0.4930,498.4,7.5717,1.31,0.77,4.7152,5.645,26.0,1.0801,0.516,0.095,2.61,6.3120,1.3,0.8,7.3,3.6315,5,7.9799,1.6,3.68,0.8,188.5433,0.8,6.2,8.64,19.60,0.207,4.9155,12.87,0.0602,0.3,0.695,3.706,0.04,6220.9249,0.12,1.23,4.2105,1.89,5.4159,0.325,6633.265,7.3689,1.3,0.75,5.6,0.1232,7.28,0.8351,6.46,2.4591,8.6206,867.702,7.0344,7.380,1.38,0.4827,223.991,7.226,0.697,1.6,6.11,0.07,5.96,0.093,3.9776,3.3,7.97,46.522,4.3997,5.225,3.701,8.7,1.83,0.3,-0.2945,5.17,0.51,0.58,3882.858,23.00
9,29.75,0.172,0.1,2.57,-6.64,7.724,2.51,0.5025,5.233,3.9817,2.29,6.2,7.07,7.5,51.5,5.9668,14.717,187.999,116.4,1.7325,-0.8,3.088,0.041,17.64,-0.59,28.1,1.174,1915.9,2.85,6.3,10.5325,9.18,3.3807,10.6,7.307,0.0143,157.6,18196204.274,0.1,3.202,1.3,0.0002,2.9,0.328,2.44,1.8,0.05,179039960.905,12.467,86.10,0.706,55.9143,2.89,35.5,164.74,0.4691,7.9128,0.0,7.07,2.66,22.098,0.423,6.056,10.2863,1.363,530.261,27.81,0.5353,3.8089,0,14.8,0.07,7.7,1.6,9.4,1.88,35.7,-1.5409,0.425,0.7,0.456,3.714,6.6933,2.8095,0.03,1.202,0.8,1.8,0.3157,5.078,666.0,6.509,0.7783,6.6292,7.71,2.8858,9.0356,4.615,0.7,5.2814,6.33,3.596,2.1538,2.5844,83.45,5.08,0.32,52.0474,16.3779,0.03,-0.3489,0.00,2.618,0.0,8.1107,8.49213,5982.151,1048.65,6.215,0.5840,11.8,2.0898,1.85,0.63,10.4047,15.3035,58.3,3.5357,0.714,0.112,8.91,6.3480,4.8,12.0,6.2,3.8332,24,9.1233,4.1,5.91,11594.0,511.5675,0.5,5.0,8.42,20.20,0.271,4.3098,1.71,0.4853,0.1,0.748,1.712,0.04,141058.2958,0.16,0.54,207.7156,3.86,2.0527,0.124,407.936,6.2324,1.7,0.93,4.0,0.141,6.57,0.1202,5.9,2.3295,9.3319,13.328,3.3333,18.100,53.8,0.092,2695.378,4.351,0.994,0.6,0.5,0.4,1.39,0.558,4.7432,2.28,8.47,27.343,3.912,4.0099,4.86,8.4,2.75,0.7,-2.0849,5.09,0.7,0.28,1078.4724,14.50
